team_id,team_name,final_rank,total_team_distance,leg_number,runner_name,leg_rank,day,daily_distance
1,名古屋大学,1,280.5,1,美濃加茂,3,38,34.7
1,名古屋大学,1,280.5,2,美濃,2,38,36.0
1,名古屋大学,1,280.5,3,大垣,,38,35.8
2,三重大学,10,270.6,1,粥見,7,38,34.4
2,三重大学,10,270.6,2,五條,10,38,34.6
2,三重大学,10,270.6,3,小俣,,38,34.0
3,福岡大学,5,274.9,1,久留米,6,38,35.9
3,福岡大学,5,274.9,2,福岡,5,38,35.6
3,福岡大学,5,274.9,3,黒木,,38,34.6
4,上武大学,11,270.1,1,佐野,13,38,34.3
4,上武大学,11,270.1,2,越谷,11,38,35.4
4,上武大学,11,270.1,3,熊谷,,38,35.8
5,関西大学,2,279.9,1,福崎,2,38,35.6
5,関西大学,2,279.9,2,和田山,1,38,36.1
5,関西大学,2,279.9,3,上郡,,38,34.5
6,熊本学園大学,6,274.8,1,甲佐,4,38,35.1
6,熊本学園大学,6,274.8,2,岱明,5,38,35.1
6,熊本学園大学,6,274.8,3,八代,,38,34.5
7,鹿児島大学,13,264.3,1,東市来,12,38,32.8
7,鹿児島大学,13,264.3,2,川内（鹿児島）,14,38,33.4
7,鹿児島大学,13,264.3,3,加久藤,,38,35.3
8,広島経済大学,7,273.4,1,三次,10,38,35.2
8,広島経済大学,7,273.4,2,加計,9,38,35.6
8,広島経済大学,7,273.4,3,府中（広島）,,38,36.3
9,学連選抜,17,209.7,1,美幌,17,38,23.2
9,学連選抜,17,209.7,2,新潟,,38,33.1
10,山梨学院大学,15,259.7,1,長野,15,38,32.5
10,山梨学院大学,15,259.7,2,南信濃,15,38,34.8
10,山梨学院大学,15,259.7,3,大月,,38,34.4
11,鳥取大学,8,272.9,1,川本,8,38,35.0
11,鳥取大学,8,272.9,2,鳥取,8,38,35.1
11,鳥取大学,8,272.9,3,広瀬,,38,35.2
12,四国大学,4,276.1,1,穴吹,1,38,36.8
12,四国大学,4,276.1,2,大三島,3,38,34.8
12,四国大学,4,276.1,3,御荘,,38,33.1
13,日本大学,12,269.9,1,大子,14,38,34.0
13,日本大学,12,269.9,2,古河,11,38,35.9
13,日本大学,12,269.9,3,下館,,38,35.6
14,立命館大学,3,278.4,1,東近江,5,38,35.0
14,立命館大学,3,278.4,2,福知山,4,38,35.9
14,立命館大学,3,278.4,3,京田辺,,38,36.2
15,福島大学,16,242.1,1,梁川,16,38,32.0
15,福島大学,16,242.1,2,石川,16,38,31.0
15,福島大学,16,242.1,3,津川,,38,30.6
16,琉球大学,14,262.3,1,北原,11,38,32.9
16,琉球大学,14,262.3,2,仲筋,13,38,33.2
16,琉球大学,14,262.3,3,盛山,,38,33.1
17,金沢大学,9,271.2,1,秋ヶ島,9,38,34.9
17,金沢大学,9,271.2,2,小浜,7,38,35.6
17,金沢大学,9,271.2,3,七尾,,38,32.3
18,東北大学,18,194.9,1,帯広,18,38,20.7
18,東北大学,18,194.9,2,山形（山形）,,38,31.2
